NA69C;	by the FoldX Consortium 
NA69D;	Jesper Borg, Frederic Rousseau, Joost Schymkowitz,
NA69E;	Luis Serrano and Francois Stricher
NA69F;	------------------------------------------------------
NA69G;	
NA69H;	PDB file analysed: batch
NA69Y;	Output type: BuildModel
NA69K;	Pdb	total energy	Backbone Hbond	Sidechain Hbond	Van der Waals	Electrostatics	Solvation Polar	Solvation Hydrophobic	Van der Waals clashes	entropy sidechain	entropy mainchain	sloop_entropy	mloop_entropy	cis_bond	torsional clash	backbone clash	helix dipole	water bridge	disulfide	electrostatic kon	partial covalent bonds	energy Ionisation	Entropy Complex
LA70P;	PTEN_2018_12.pdb	2.45537	1.08046	-0.400522	0.836816	0.0230364	-0.9037	0.979448	1.33318	-0.303305	-0.184272	0	0	0	-0.0035006	-0.0249859	-0.0011855	0	0	0	0	-0.00107432	0
LA70N;	PTEN_2018_13.pdb	0.892375	0.988491	1.00213	0.0227772	-1.78949e-07	-0.662478	-0.986367	0.428841	-0.177279	-0.31624	0	0	0	0.592495	-0.0433107	-1.48875e-09	0	0	0	0	5.19584e-14	0
LA70M;	PTEN_2018_14.pdb	1.94339	0.53835	0.553104	-0.692406	1.78949e-07	0.994508	-0.975889	0.0242597	1.21791	0.268385	0	0	0	-0.00121012	0.0153563	1.48875e-09	0	0	0	0	0.0163786	0
LA70K;	PTEN_2018_15.pdb	3.23833	2.5281	0.968718	0.447626	-0.00509454	-1.83499	-0.654962	2.15546	-0.496316	-0.0265979	0	0	0	0.158522	-0.194193	-1.48875e-09	0	0	0	0	-0.00214323	0
LA70Q;	PTEN_2018_16.pdb	0.691988	-0.165165	-0.223649	-1.29325	-0.0508433	2.00255	-1.29904	0.0584082	1.37583	0.214156	0	0	0	0.0729977	0.133498	-2.22045e-16	0	0	0	0	8.17124e-14	0
LA70S;	PTEN_2018_17.pdb	5.20765	0.0956233	-0.00606503	0.563689	-0.0238024	-0.171913	1.22963	2.61779	-0.626766	0.236205	0	0	0	1.29326	-0.111428	-1.6777e-09	0	0	0	0	-1.91993e-10	0
LA70C;	PTEN_2018_18.pdb	4.89042	0.0848158	-0.374122	0.994447	-0.0245014	0.67239	2.61463	1.4529	-0.657148	0.147785	0	0	0	-0.0207804	-0.00299847	1.6777e-09	0	0	0	0	1.91993e-10	0
LA70H;	PTEN_2018_19.pdb	10.2121	-0.946948	-0.832068	-1.1362	1.02387	3.65279	0.677903	5.89039	0.829756	0.406727	0	0	0	0.641882	-0.0463032	0.00403711	0	0	0	0	-1.91993e-10	0
LA70G;	PTEN_2018_20.pdb	7.19394	1.44527	-0.0231955	1.32033	3.55271e-15	-0.860373	2.3332	4.03029	-1.00427	-0.0441614	0	0	0	-0.00314591	-1.48001	0	0	0	0	0	0	0
LA70Y;	PTEN_2018_21.pdb	2.2007	-0.580477	-0.619813	0.520929	0	1.01208	2.2864	-0.00929434	-0.35403	-0.0565137	0	0	0	0.00141667	-0.0145602	0	0	0	0	0	0	0
LA70A;	PTEN_2018_22.pdb	0.76587	-0.0285324	0.0112659	-0.512333	0	0.0507684	-0.401892	0.120558	0.867697	0.658273	0	0	0	6.60635e-05	-0.0459122	0	0	0	0	0	0	0
LA70D;	PTEN_2018_23.pdb	5.72872	-0.0392854	0.0110436	-0.51091	0.648218	3.54471	0.241081	-0.0158848	0.938016	0.278635	0	0	0	0.630548	-0.0610805	0.00254282	0	0	0	0	-1.92002e-10	0
LA70E;	PTEN_2018_24.pdb	4.10359	0.0121422	0.00536403	0.0205538	8.34582e-07	1.56871	1.43511	-0.0267836	0.632013	0.409168	0	0	0	0.0473099	-0.0461503	6.13132e-10	0	0	0	0	1.92002e-10	0
LA70F;	PTEN_2018_25.pdb	4.12892	-0.11076	-0.25837	1.51403	-8.92724e-08	-0.0409019	3.8241	0.0121964	-0.65289	-0.156694	0	0	0	-0.00178849	-0.0943717	-1.4887e-09	0	0	0	0	-1.92002e-10	0
LA70I;	PTEN_2018_26.pdb	3.25298	0.0488248	-0.0615476	1.01296	0	-0.629144	2.52128	0.177738	-0.259934	0.442853	0	0	0	-5.5159e-05	-0.103103	0	0	0	0	0	0	0
LA70W;	PTEN_2018_27.pdb	2.17842	-0.56042	-0.556515	-0.3792	-1.30944e-06	1.68744	0.659644	0.802454	-0.079181	0.432622	0	0	0	0.00896884	-0.0609419	-1.1108e-09	0	0	0	0	0.162608	0
CA71Y;	PTEN_2018_28.pdb	4.64231	0.364945	0.0080196	2.38769	-0.00123766	-1.40089	4.46775	-0.101454	-1.23293	0.153055	0	0	0	-0.00263227	-0.212953	-8.83269e-10	0	0	0	0	-1.91954e-10	0
CA71R;	PTEN_2018_29.pdb	7.00438	-0.0042495	-1.31948	-0.538938	0.289754	0.687558	0.00528564	7.10677	-0.115326	0.234719	0	0	0	0.658286	-0.0381101	-5.83723e-10	0	0	0	0	-1.91955e-10	0
CA71L;	PTEN_2018_30.pdb	3.32712	0.186264	0.00808674	1.76067	-9.95891e-07	-0.893632	3.47852	-0.0608133	-1.25417	0.107682	0	0	0	-0.00548355	-0.0972054	-7.89878e-10	0	0	0	0	-1.91956e-10	0
CA71A;	PTEN_2018_31.pdb	4.06422	0.107944	0.00942399	0.815584	-0.926334	2.23879	2.52362	0.0303303	-0.515745	-0.220685	0	0	0	0.00782939	-0.033622	-0.00652942	0	0	0	0	0	0
CA71D;	PTEN_2018_32.pdb	2.95895	0.0562442	-1.51899	0.317663	-0.873544	2.69067	1.73607	0.0978894	0.396374	0.0961601	0	0	0	-0.0334797	0.0253424	-0.00611332	0	0	0	0	0	0
CA71E;	PTEN_2018_33.pdb	3.77976	-0.0277793	0.00451058	-0.30697	0.157817	-0.104137	-0.0799245	3.32615	-0.24321	0.166509	0	0	0	0.886792	0.0197953	-1.34585e-09	0	0	0	0	-1.91956e-10	0
CA71W;	PTEN_2018_34.pdb	3.33192	0.0414982	-0.0171575	-0.126931	-0.0652688	0.257574	-0.096338	0.3817	-0.045942	0.305697	0	0	0	2.69709	0.0374186	0	0	0	0	0	0	0
CA71F;	PTEN_2018_35.pdb	16.6009	-0.00996418	0.0101129	-1.25779	0.939119	1.30769	-1.60907	15.8962	-0.110835	0.624313	0	0	0	0.811218	-0.0221353	-1.29143e-09	0	0	0	0	-1.91954e-10	0
CA71G;	PTEN_2018_36.pdb	22.852	1.19726	0.258823	-1.85133	0.441506	2.65929	-2.52797	21.2521	-0.00150257	-0.13003	0	0	0	1.55392	-0.05008	-1.00063e-05	0	0	0	0	-3.05977e-13	0
CA71H;	PTEN_2018_37.pdb	6.36789	0.0810976	-0.459379	-1.37923	0.352998	3.57959	-1.00983	5.41289	-0.469937	0.18691	0	0	0	0.0862298	0.323362	-0.0134481	0	0	0	0	-2.24451e-10	0
CA71I;	PTEN_2018_38.pdb	-0.594773	1.13396	1.51021	-0.630946	-0.484376	-0.120133	-1.8903	0.484745	-0.0205536	-0.0474228	0	0	0	0.152466	0.127175	-0.00294014	0	0	0	0	-0.679478	0
CA71K;	PTEN_2018_39.pdb	0.516558	-0.0102406	0.303128	0.744671	0.101917	-0.484248	0.734394	-0.0111286	-1.00365	0.217553	0	0	0	-0.0758371	-0.0903474	0	0	0	0	0	-1.33227e-15	0
CA71M;	PTEN_2018_40.pdb	1.58419	0.035572	0.101791	-0.382384	-1.40642	3.83886	-0.0676778	0.0664052	-0.289562	-0.275799	0	0	0	-0.0352233	0.07432	-0.00138358	0	0	0	0	-2.84762e-10	0
CA71N;	PTEN_2018_41.pdb	2.76273	-0.842323	1.13248	-0.826777	-1.04093	4.14282	-0.701327	0.63618	0.7032	-0.597623	0	0	0	0.156894	0.242502	0.000134079	0	0	0	0	-2.86001e-10	0
CA71P;	PTEN_2018_42.pdb	27.7197	-0.236049	0.589561	-2.46625	0.684759	2.31611	-4.23573	31.3184	-0.258569	0.0481809	0	0	0	-0.0244815	0.40087	-0.0162986	0	0	0	0	-2.82539e-10	0
	PTEN_2018_43.pdb	3.27659	0.0189282	2.04368	-0.178024	2.01439	-1.91043	-1.28228	3.39384	-1.2222	0.444307	0	0	0	-0.0459688	0.3256	0.000345793	0	0	0	0	-2.40799e-10	0
	PTEN_2018_44.pdb	2.13539	0.113224	0.34	1.55405	0.219331	-1.47396	1.89539	-0.0196834	-1.04294	0.606208	0	0	0	-0.0563884	-0.303669	0	0	0	0	0	0.000156958	0
	PTEN_2018_45.pdb	16.5849	-0.0409499	-1.00591	-1.23267	-0.237087	3.0462	-1.2249	16.2623	0.0595873	0.1976	0	0	0	0.598133	0.239558	-1.22125e-14	0	0	0	0	0.162608	0
	PTEN_2018_46.pdb	1.6602	-0.0755116	0.389186	-0.942322	-0.200466	0.950183	-1.98876	2.51359	-0.0540963	-0.314842	0	0	0	1.38014	0.528962	0.00278831	0	0	0	0	0.000312187	0
	PTEN_2018_47.pdb	5.12569	-0.00947137	-0.290883	-1.69176	-0.441255	4.92553	-2.21562	3.74758	1.12372	0.00779898	0	0	0	-0.0282958	0.398086	-0.00165813	0	0	0	0	0	0
	PTEN_2018_48.pdb	1.65171	0.351065	1.10873	-1.17483	0.152085	1.24913	-2.28341	2.99952	-0.60733	-0.447118	0	0	0	0.302681	0.347444	0.00119303	0	0	0	0	-4.72311e-11	0
	PTEN_2018_49.pdb	0.613513	-0.0683716	-1.0966	-0.464011	-0.100734	2.32888	0.0657679	0.123746	-0.171731	-0.00788845	0	0	0	0.00404094	0.115461	1.82143e-09	0	0	0	0	0.000410648	0
	PTEN_2018_50.pdb	3.74528	0.67907	0.902132	0.320893	0.0204754	-0.646231	-0.230936	3.9836	-0.75345	-0.498368	0	0	0	-0.0319105	-1.36947	0	0	0	0	0	0	0
